category,file,duration_sec,n_onsets,onsets_per_sec
normal_song,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/test_dir/Song/Love to Rise in the Summer Morning.ogg,147.7,611,4.1367
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/âƒÇÃÉtÉ@ÉìÉ^ÉWÉA/âƒÇÃÉtÉ@ÉìÉ^ÉWÉA.mp3,113.06,437,3.8653
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª/ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª.mp3,97.3,220,2.2611
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Piece of Time Ex/Piece of Time.mp3,133.38,425,3.1864
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô/ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.mp3,102.74,311,3.0271
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Girls spirit/Girls spirit.mp3,89.12,77,0.864
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Love Hell Rocket/Love Hell Rocket.mp3,86.67,343,3.9573
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ge-Ko-Ku-Jo/Ge-Ko-Ku-Jo.mp3,123.13,479,3.8902
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Precious Line/Precious Line.mp3,111.49,443,3.9734
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/DENGEKI Tube/DENGEKI Tube.mp3,114.73,499,4.3493
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç‹Ç¡ÇµÇÆÇÁÅI Ex/Ç‹Ç¡ÇµÇÆÇÁÅI.mp3,115.54,390,3.3755
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/my sweet heart Ex/my sweet heart.mp3,87.35,258,2.9535
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/èÓîMÇÃÉîÉHÉuÉã/èÓîMÇÃÉîÉHÉuÉã.mp3,119.3,415,3.4786
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Change&Chance!/Change&Chance!.mp3,92.34,189,2.0467
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Feel The Beat/Feel The Beat.mp3,122.53,231,1.8853
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Bright Pain/Bright Pain.mp3,150.2,639,4.2542
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇƒÇ°ÇÈÇœÇ…DISCO/DISCO.mp3,84.06,381,4.5324
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Venom/Venom.mp3,132.15,285,2.1566
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Daydream cafe/Daydream cafe.mp3,90.04,275,3.0541
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/êÊìVê´ÉGÉSÉTàÀë∂è«åÛåQ/senten.mp3,94.08,277,2.9443
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Kaleidoscope/Kaleidoscope.mp3,123.6,309,2.5
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉAÉåÉZÉCÉA/ÉAÉåÉZÉCÉA.mp3,115.49,482,4.1736
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/è≠èóÇÃãÛîíÉvÉäÉYÉì/è≠èóÇÃãÛîíÉvÉäÉYÉì.mp3,102.97,389,3.7776
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/quantum faith/quantum faith.mp3,119.68,123,1.0277
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Verflucht/Verflucht.mp3,115.64,93,0.8042
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/iÇâÇ´Ç»Ç≥Ç¢ Ex/iÇâÇ´Ç»Ç≥Ç¢.mp3,99.58,407,4.0873
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉXÉ^Å[É`ÉX/ÉXÉ^Å[É`ÉX.mp3,140.09,387,2.7624
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Dreamin/Dreamin.mp3,110.85,327,2.9499
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/É^ÉCÉàÉEÉpÉâÉ_ÉCÉX/É^ÉCÉàÉEÉpÉâÉ_ÉCÉX.mp3,138.91,352,2.534
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/tamutamu/tamutamu.mp3,89.14,188,2.1089
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Toward the future/Toward the future.mp3,114.9,332,2.8895
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉvÉäÉYÉ}ÉeÉBÉbÉNÉvÉäÉìÉZÉXÅôÉÜÉjÉ]ÉìÉXÉ^Å[ÉY/prism.mp3,101.67,423,4.1606
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[/élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[.mp3,115.04,177,1.5386
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇÕÇ»É}ÉãÉbÅI/hanademo_01.mp3,87.04,361,4.1475
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/GIB Ex/Wonderful.mp3,98.85,312,3.1564
ddr_beatmap,/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/good-bye crisis/good-bye crisis.mp3,117.11,146,1.2467
