onset_index,onset_ms
0,12.5
1,436.5
2,785.0
3,1056.8
4,1420.3
5,1850.1
6,2210.6
7,2580.9
8,2900.2
9,3210.5
10,3605.0
11,4010.2
12,4350.7
13,4710.1
14,5105.4
15,5520.8
16,5850.1
17,6200.5
18,6605.3
19,6950.9
20,7300.2
21,7710.6
22,8105.0
23,8450.3
24,8810.7
25,9205.1
26,9550.8
27,9900.2
28,10310.5
29,10705.9
30,11050.4
31,11410.8
32,11805.2
33,12150.9
34,12500.3
35,12910.6
36,13305.0
37,13650.5
38,14010.9
39,14405.3
40,14750.0
41,15100.4
42,15510.7
43,15905.1
44,16250.6
45,16610.0
46,17005.4
47,17350.1
48,17700.5
49,18110.8
50,18505.2
51,18850.7
52,19210.1
53,19605.5
54,19950.2
55,20300.6
56,20710.9
57,21105.3
58,21450.8
59,21810.2
60,22205.6
61,22550.3
62,22900.7
63,23310.0
64,23705.4
65,24050.9
66,24410.3
67,24805.7
68,25150.4
69,25500.8
70,25910.1
71,26305.5
72,26650.0
73,27010.4
74,27405.8
75,27750.5
76,28100.9
77,28510.2
78,28905.6
79,29250.1
80,29610.5
81,30005.9
82,30350.6
83,30700.0
84,31110.3
85,31505.7
86,31850.2
87,32210.6
88,32605.0
89,32950.7
90,33300.1
91,33710.4
92,34105.8
93,34450.3
94,34810.7
95,35205.1
96,35550.8
97,35900.2
98,36310.5
99,36705.9
100,37050.4
101,37410.8
102,37805.2
103,38150.9
104,38500.3
105,38910.6
106,39305.0
107,39650.5
108,40010.9
109,40405.3
110,40750.0
111,41100.4
112,41510.7
113,41905.1
114,42250.6
115,42610.0
116,43005.4
117,43350.1
118,43700.5
119,44110.8
120,44505.2
121,44850.7
122,45210.1
123,45605.5
124,45950.2
125,46300.6
126,46710.9
127,47105.3
128,47450.8
129,47810.2
130,48205.6
131,48550.3
132,48900.7
133,49310.0
134,49705.4
135,50050.9
136,50410.3
137,50805.7
138,51150.4
139,51500.8
140,51910.1
141,52305.5
142,52650.0
143,53010.4
144,53405.8
145,53750.5
146,54100.9
147,54510.2
148,54905.6
149,55250.1
150,55610.5
151,56005.9
152,56350.6
153,56700.0
154,57110.3
155,57505.7
156,57850.2
157,58210.6
158,58605.0
159,58950.7
160,59300.1
161,59710.4
162,60105.8
163,60450.3
164,60810.7
165,61205.1
166,61550.8
167,61900.2
168,62310.5
169,62705.9
170,63050.4
171,63410.8
172,63805.2
173,64150.9
174,64500.3
175,64910.6
176,65305.0
177,65650.5
178,66010.9
179,66405.3
180,66750.0
181,67100.4
182,67510.7
183,67905.1
184,68250.6
185,68610.0
186,69005.4
187,69350.1
188,69700.5
189,70110.8
190,70505.2
191,70850.7
192,71210.1
193,71605.5
194,71950.2
195,72300.6
196,72710.9
197,73105.3
198,73450.8
199,73810.2
200,74205.6
201,74550.3
202,74900.7
203,75310.0
204,75705.4
205,76050.9
206,76410.3
207,76805.7
208,77150.4
209,77500.8
210,77910.1
211,78305.5
212,78650.0
213,79010.4
214,79405.8
215,79750.5
216,80100.9
217,80510.2
218,80905.6
219,81250.1
220,81610.5
221,82005.9
222,82350.6
223,82700.0
224,83110.3
225,83505.7
226,83850.2
227,84210.6
228,84605.0
229,84950.7
230,85300.1
231,85710.4
232,86105.8
233,86450.3
234,86810.7
235,87205.1
236,87550.8
237,87900.2
238,88310.5
239,88705.9
240,89050.4
241,89410.8
242,89805.2
243,90150.9
244,90500.3
245,90910.6
246,91305.0
247,91650.5
248,92010.9
249,92405.3
250,92750.0
251,93100.4
252,93510.7
253,93905.1
254,94250.6
255,94610.0
256,95005.4
257,95350.1
258,95700.5
259,96110.8
260,96505.2
261,96850.7
262,97210.1
263,97605.5
264,97950.2
265,98300.6
266,98710.9
267,99105.3
268,99450.8
269,99810.2
270,100205.6
271,100550.3
272,100900.7
273,101310.0
274,101705.4
275,102050.9
276,102410.3
277,102805.7
278,103150.4
279,103500.8
280,103910.1
281,104305.5
282,104650.0
283,105010.4
284,105405.8
285,105750.5
286,106100.9
287,106510.2
288,106905.6
289,107250.1
290,107610.5
291,108005.9
292,108350.6
293,108700.0
294,109110.3
295,109505.7
296,109850.2
297,110210.6
298,110605.0
299,110950.7
300,111300.1
301,111710.4
302,112105.8
303,112450.3
304,112810.7
305,113205.1
306,113550.8
307,113900.2
308,114310.5
309,114705.9
310,115050.4
311,115410.8
312,115805.2
313,116150.9
314,116500.3
315,116910.6
316,117305.0
317,117650.5
318,118010.9
319,118405.3
320,118750.0
321,119100.4
322,119510.7
323,119905.1
324,120250.6
325,120610.0
326,121005.4
327,121350.1
328,121700.5
329,122110.8
330,122505.2
331,122850.7
332,123210.1
333,123605.5
334,123950.2
335,124300.6
336,124710.9
337,125105.3
338,125450.8
339,125810.2
340,126205.6
341,126550.3
342,126900.7
343,127310.0
344,127705.4
345,128050.9
346,128410.3
347,128805.7
348,129150.4
349,129500.8
350,129910.1
351,130305.5
352,130650.0
353,131010.4
354,131405.8
355,131750.5
356,132100.9
357,132510.2
358,132905.6
359,133250.1
360,133610.5
