# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.0
# Top-P,0.9
# Min-P,0.05
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.2, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,total_onsets_in_beat_slot,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
117.5,2.37,0.00,2,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,2.12
117.5,2.37,0.51,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.66
117.5,2.37,1.02,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.66
117.5,2.37,1.53,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.67
117.5,2.37,2.04,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.82
117.5,2.37,2.55,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.82
117.5,2.37,3.07,1,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,2.08
117.5,2.37,3.58,3,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.83
117.5,2.37,4.09,2,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.88
117.5,2.37,4.60,0,True,0110,0000-0.0%|0001-49.8%|0010-2.9%|0100-3.4%|1000-0.0%|0011-3.0%|0101-0.0%|0110-36.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-5.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0110,1.93
117.5,2.37,5.11,2,True,0001,0000-4.3%|0001-56.5%|0010-0.0%|0100-3.5%|1000-0.0%|0011-3.5%|0101-0.0%|0110-24.5%|1001-0.0%|1010-0.0%|1100-0.0%|0111-7.8%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0001,2.03
117.5,2.37,5.62,3,True,0001,0000-6.1%|0001-48.1%|0010-3.4%|0100-3.9%|1000-0.0%|0011-3.7%|0101-0.0%|0110-27.8%|1001-0.0%|1010-0.0%|1100-0.0%|0111-7.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0001,1.94
117.5,2.37,6.13,2,False,0011,0000-52.3%|0001-0.0%|0010-6.8%|0100-0.0%|1000-0.0%|0011-6.5%|0101-0.0%|0110-34.4%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0011,1.95
117.5,2.37,6.64,3,True,0110,0000-3.7%|0001-22.4%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-70.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-3.9%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0110,2.10
117.5,2.37,7.15,2,False,0000,0000-80.5%|0001-0.0%|0010-6.7%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-12.8%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.95
117.5,2.37,7.66,0,False,0000,0000-83.0%|0001-0.0%|0010-5.7%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-11.3%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.96
117.5,2.37,8.17,3,False,0011,0000-17.5%|0001-0.0%|0010-8.4%|0100-0.0%|1000-0.0%|0011-32.0%|0101-0.0%|0110-38.6%|1001-0.0%|1010-0.0%|1100-0.0%|0111-3.5%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0011,2.07
117.5,2.37,8.68,2,True,1111,0000-6.7%|0001-7.8%|0010-4.6%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-72.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-4.5%|1011-0.0%|1101-0.0%|1110-0.0%|1111-4.3%,1111,2.70
117.5,2.37,9.20,3,False,0110,0000-28.4%|0001-0.0%|0010-7.6%|0100-0.0%|1000-0.0%|0011-21.6%|0101-0.0%|0110-42.4%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0110,2.08
117.5,2.37,9.71,3,False,0011,0000-49.6%|0001-0.0%|0010-9.2%|0100-0.0%|1000-0.0%|0011-23.5%|0101-0.0%|0110-17.7%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0011,2.08
117.5,2.37,10.22,3,False,0110,0000-18.2%|0001-0.0%|0010-7.0%|0100-0.0%|1000-0.0%|0011-13.7%|0101-0.0%|0110-17.1%|1001-0.0%|1010-0.0%|1100-0.0%|0111-17.5%|1011-0.0%|1101-0.0%|1110-9.8%|1111-16.6%,0110,2.14
117.5,2.37,10.73,2,True,0110,0000-3.7%|0001-16.2%|0010-4.4%|0100-0.0%|1000-0.0%|0011-9.6%|0101-0.0%|0110-28.5%|1001-0.0%|1010-0.0%|1100-0.0%|0111-11.4%|1011-0.0%|1101-0.0%|1110-11.2%|1111-15.1%,0110,2.22
117.5,2.37,11.24,3,True,0011,0000-3.4%|0001-15.8%|0010-0.0%|0100-0.0%|1000-0.0%|0011-9.2%|0101-0.0%|0110-38.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-14.1%|1011-0.0%|1101-0.0%|1110-8.4%|1111-11.2%,0011,2.22
117.5,2.37,11.75,4,False,0000,0000-36.8%|0001-0.0%|0010-7.2%|0100-0.0%|1000-0.0%|0011-16.0%|0101-0.0%|0110-11.4%|1001-0.0%|1010-0.0%|1100-0.0%|0111-17.1%|1011-0.0%|1101-0.0%|1110-5.0%|1111-6.5%,0000,2.14
