# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.05
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.2, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,total_onsets_in_beat_slot,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
117.5,2.37,0.00,2,True,0110,0000-10.0%|0001-15.9%|0010-9.1%|0100-6.8%|1000-3.5%|0011-8.6%|0101-5.4%|0110-18.2%|1001-0.0%|1010-0.0%|1100-0.0%|0111-10.5%|1011-0.0%|1101-4.0%|1110-3.4%|1111-4.4%,0110,2.02
117.5,2.37,0.51,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,1.02,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,1.53,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,2.04,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,2.55,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,3.07,1,True,0100,0000-7.3%|0001-23.6%|0010-6.2%|0100-6.9%|1000-0.0%|0011-6.3%|0101-3.9%|0110-35.5%|1001-0.0%|1010-0.0%|1100-0.0%|0111-5.1%|1011-0.0%|1101-0.0%|1110-2.6%|1111-2.7%,0100,1.89
117.5,2.37,3.58,3,True,0001,0000-9.8%|0001-23.6%|0010-6.1%|0100-3.0%|1000-0.0%|0011-6.5%|0101-3.6%|0110-31.4%|1001-0.0%|1010-0.0%|1100-0.0%|0111-4.7%|1011-0.0%|1101-3.3%|1110-3.9%|1111-4.1%,0001,1.89
117.5,2.37,4.09,2,True,1101,0000-4.9%|0001-12.8%|0010-3.7%|0100-5.9%|1000-5.2%|0011-4.3%|0101-7.6%|0110-23.4%|1001-0.0%|1010-0.0%|1100-6.3%|0111-4.7%|1011-0.0%|1101-6.0%|1110-7.1%|1111-8.0%,1101,1.92
117.5,2.37,4.60,0,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,5.11,2,True,0101,0000-5.0%|0001-16.8%|0010-4.2%|0100-6.6%|1000-0.0%|0011-5.5%|0101-8.1%|0110-33.2%|1001-0.0%|1010-0.0%|1100-3.7%|0111-6.7%|1011-0.0%|1101-0.0%|1110-4.7%|1111-5.6%,0101,1.93
