global_bpm,song_duration_minutes,beat_time_sec,onset_detected,selected_step,step_probabilities,time_taken_sec
117.5,2.37,0.00,False,0000,0000-96.0%|0001-0.5%|0010-1.4%|0100-0.2%|1000-0.6%|0011-0.6%|0101-0.1%|0110-0.1%|1001-0.1%|1010-0.1%|1100-0.0%|0111-0.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.1%,2.18
117.5,2.37,0.51,False,0000,0000-95.6%|0001-0.6%|0010-1.8%|0100-0.2%|1000-0.3%|0011-0.9%|0101-0.1%|0110-0.1%|1001-0.1%|1010-0.1%|1100-0.0%|0111-0.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,1.67
117.5,2.37,1.02,False,0000,0000-95.7%|0001-0.7%|0010-1.8%|0100-0.2%|1000-0.4%|0011-0.8%|0101-0.1%|0110-0.0%|1001-0.1%|1010-0.1%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,1.67
117.5,2.37,1.53,False,0000,0000-94.3%|0001-0.8%|0010-2.3%|0100-0.1%|1000-0.4%|0011-1.2%|0101-0.1%|0110-0.1%|1001-0.1%|1010-0.1%|1100-0.1%|0111-0.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.1%,1.67
117.5,2.37,2.04,False,0000,0000-97.2%|0001-0.6%|0010-0.8%|0100-0.3%|1000-0.2%|0011-0.4%|0101-0.2%|0110-0.1%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,1.83
117.5,2.37,2.55,False,0000,0000-97.4%|0001-0.6%|0010-1.0%|0100-0.2%|1000-0.0%|0011-0.5%|0101-0.1%|0110-0.1%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,1.83
117.5,2.37,3.07,False,0000,0000-97.4%|0001-0.5%|0010-0.9%|0100-0.3%|1000-0.0%|0011-0.4%|0101-0.1%|0110-0.1%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,1.82
117.5,2.37,3.58,False,0000,0000-97.5%|0001-0.6%|0010-0.8%|0100-0.2%|1000-0.0%|0011-0.4%|0101-0.1%|0110-0.1%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,1.82
117.5,2.37,4.09,False,0000,0000-96.6%|0001-0.9%|0010-0.6%|0100-0.5%|1000-0.4%|0011-0.3%|0101-0.2%|0110-0.1%|1001-0.0%|1010-0.1%|1100-0.0%|0111-0.2%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.1%,1.87
117.5,2.37,4.60,True,0001,0000-20.9%|0001-36.7%|0010-2.2%|0100-2.5%|1000-0.5%|0011-2.2%|0101-1.9%|0110-26.5%|1001-0.2%|1010-0.2%|1100-0.3%|0111-3.7%|1011-0.2%|1101-0.4%|1110-0.5%|1111-1.1%,1.93
117.5,2.37,5.11,True,0001,0000-24.4%|0001-35.6%|0010-1.6%|0100-2.2%|1000-0.3%|0011-2.2%|0101-1.6%|0110-25.2%|1001-0.1%|1010-0.1%|1100-0.2%|0111-4.9%|1011-0.1%|1101-0.2%|1110-0.3%|1111-0.9%,1.93
