time_ms,note_row_width
2972.15,8
3215.96,4
3982.22,8
4226.03,8
4527.89,4
6234.56,16
7488.44,4
8045.71,4
8219.86,4
8370.79,4
8649.43,4
9009.34,8
9961.36,16
10251.61,8
10507.03,8
11006.26,16
11493.88,8
11737.69,8
11993.11,4
12492.34,16
12991.56,8
13746.21,16
14245.44,8
14756.28,16
15209.07,8
15499.32,8
15743.13,4
15998.55,16
16288.8,16
16497.78,8
16997.01,4
17705.22,8
18483.08,16
18796.55,16
20758.64,4
20990.84,16
21490.07,8
21745.49,8
22976.15,8
23486.98,16
23997.82,8
24299.68,8
25216.87,8
25483.9,8
25727.71,4
25983.13,16
26726.17,8
27004.81,4
27492.43,16
28746.3,16
29245.53,8
29500.95,4
30720.0,4
30963.81,16
31497.87,8
31973.88,4
32287.35,16
33216.15,4
34249.43,8
34504.85,4
34992.47,16
35294.33,8
35793.56,4
36234.74,16
36501.77,8
36792.02,8
37001.0,4
37233.2,16
37500.23,16
37744.04,8
37999.46,8
38243.27,4
38498.68,16
38986.3,8
39230.11,8
39497.14,4
40751.02,4
40994.83,16
41296.69,16
41494.06,8
41726.26,8
41993.29,4
44988.66,16
45232.47,8
45487.89,8
45998.73,16
46230.93,16
46497.96,8
46799.82,8
46997.19,4
48297.51,4
48506.49,16
49005.71,8
49295.96,8
49504.94,4
49783.58,16
50027.39,16
50747.21,4
51002.63,16
52001.09,4
52488.71,16
52987.94,8
53498.78,16
54009.61,8
54206.98,8
55008.07,16
55751.11,4
55994.92,16
56505.76,8
56749.57,8
56993.38,4
57748.03,8
58502.68,16
58746.49,16
59501.13,4
66792.2,8
67047.62,4
67233.38,8
67465.58,4
67709.39,8
67999.64,4
68789.12,8
69044.54,4
69520.54,4
70774.42,8
71029.84,4
71993.47,4
72248.89,8
72492.7,4
73467.94,4
74245.8,8
74489.61,8
