Here is your CSV:

  * time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
  * 0.0,1.0,1000,4,2,0.95,kick
  * 125.0,1.25,0000,0,3,1.0,unknown
  * 250.0,1.5,0010,4,3,0.88,snare
  * 375.0,1.75,0000,0,3,1.0,unknown
  * 500.0,2.0,2000,4,2,1.0,bass
  * 625.0,2.25,0000,0,3,1.0,unknown
  * 750.0,2.5,0100,4,3,0.82,snare
  * 875.0,2.75,0000,0,3,1.0,unknown
  * 1000.0,3.0,3001,4,2,0.91,kick
  * 1125.0,3.25,0000,0,3,1.0,unknown
  * 1250.0,3.5,0000,0,3,1.0,unknown
  * 1375.0,3.75,0000,0,3,1.0,unknown
  * 1500.0,4.0,0000,0,2,1.0,unknown
  * 1625.0,4.25,0000,0,3,1.0,unknown
  * 1750.0,4.5,0010,4,3,0.79,snare
  * 1875.0,4.75,0000,0,3,1.0,unknown
  * 2000.0,5.0,"","-1","-1",1.0,separator
  * 2318.37,5.27,0000,0,3,1.0,unknown
  * 2562.18,5.50,0000,0,3,1.0,unknown
  * 2805.99,5.73,0000,0,3,1.0,unknown
  * 3049.80,5.96,0000,0,3,1.0,unknown
  * 3282.00,6.18,0000,0,3,1.0,unknown
  * 3549.02,6.41,0000,0,3,1.0,unknown
  * 3781.22,6.63,0000,0,3,1.0,unknown
  * 4001.81,6.86,0000,0,3,1.0,unknown
  * 4199.18,7.08,0000,0,3,1.0,unknown
  * 4501.04,7.31,0000,0,3,1.0,unknown
  * 4744.85,7.54,0000,0,3,1.0,unknown
  * 4988.66,7.77,0000,0,3,1.0,unknown
  * 5220.86,8.00,0000,0,3,1.0,unknown
  * 5487.89,8.23,0000,0,3,1.0,unknown
  * 5708.48,8.46,0000,0,3,1.0,unknown
  * 5952.29,8.69,0000,0,3,1.0,unknown
  * 6172.88,8.92,0000,0,3,1.0,unknown
  * 6451.52,9.15,0000,0,3,1.0,unknown
  * 6939.14,9.37,0000,0,3,1.0,unknown
  * 7426.76,9.60,0000,0,3,1.0,unknown
  * 7914.38,9.83,0000,0,3,1.0,unknown
  * 8390.39,10.06,0000,0,3,1.0,unknown
  * 8878.00,10.30,0000,0,3,1.0,unknown
  * 9354.01,10.53,0000,0,3,1.0,unknown
  * 9841.63,10.76,0000,0,3,1.0,unknown
  * 10306.03,11.00,0000,0,3,1.0,unknown
  * 10573.06,11.24,0000,0,3,1.0,unknown
  * 10816.87,11.48,0000,0,3,1.0,unknown
  * 11037.46,11.71,0000,0,3,1.0,unknown
  * 11304.49,11.95,0000,0,3,1.0,unknown
  * 11525.08,12.19,0000,0,3,1.0,unknown
  * 11780.50,12.44,0000,0,3,1.0,unknown
  * 12012.70,12.69,0000,0,3,1.0,unknown
  * 12221.68,12.93,0000,0,3,1.0,unknown
  * 12372.61,13.17,0000,0,3,1.0,unknown
  * 12500.32,13.41,0000,0,3,1.0,unknown
  * 12628.03,13.66,0000,0,3,1.0,unknown
  * 12755.74,13.91,0000,0,3,1.0,unknown
  * 12987.94,14.16,0000,0,3,1.0,unknown
  * 13231.75,14.41,0000,0,3,1.0,unknown
  * 13475.56,14.66,0000,0,3,1.0,unknown
  * 13696.15,14.91,0000,0,3,1.0,unknown
  * 13951.56,15.16,0000,0,3,1.0,unknown
  * 14195.37,15.41,0000,0,3,1.0,unknown
  * 14439.18,15.66,0000,0,3,1.0,unknown
  * 14671.38,15.91,0000,0,3,1.0,unknown
  * 14903.58,16.16,0000,0,3,1.0,unknown
  * 15159.00,16.41,0000,0,3,1.0,unknown
  * 15623.40,16.66,0000,0,3,1.0,unknown
  * 15867.21,16.91,0000,0,3,1.0,unknown
  * 16134.24,17.16,0000,0,3,1.0,unknown
  * 16343.22,17.41,0000,0,3,1.0,unknown
  * 16598.64,17.66,0000,0,3,1.0,unknown
  * 16830.84,17.91,0000,0,3,1.0,unknown
  * 18061.50,18.16,0000,0,3,1
