Here is your CSV:
```css
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,0000,0,3,1.0,unknown
1250.00,3.50,0000,0,3,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,0000,0,2,1.0,unknown
```














































































































































































































```css
232.56,487.98,708.57,929.16,1196.19,1428.39,1648.98,1939.23,2171.43,2403.63,2647.44,2902.86,3100.23,3390.48,3634.29,3866.49,4063.85,4342.49,4586.30,5085.53,5259.68,5549.93,5770.52,6002.72,6269.75,6501.95,6768.98,7012.79,7244.99,7488.80,7721.00,7976.42,8208.62,8464.04,8916.83,9195.46,9427.66,9555.37,9648.25,9915.28,10159.09,10344.85,10577.05,10844.08,11122.72,11366.53,11598.73,11842.54,12086.35,12295.33,12585.58,12817.78,13049.98,13305.40,13514.38,13758.19,14025.22,14257.41,14501.22,14745.03,14954.01,15244.26,15476.46,15685.44,15940.86,16184.67,16440.09,16683.90,16939.32,17171.52,17392.11,17624.31,17879.73,18123.54,18297.69,18390.57,18611.16,18843.36,19110.39,19342.59,19574.78,19841.81
```
















































































```css
12817.78,13049.98,13305.40,13514.38,13758.19,14025.22,14257.41,14501.22,14745.03,14954.01,15244.26,15476.46,15685.44,15940.86,16184.67,16440.09,16683.90,16939.32,17171.52,17392.11,17624.31,17879.73,18123.54,18297.69,18390.57,18611.16,18843.36,19110.39,19342.59,19574.78,19841.81
```

























