```css
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,",",-1,-1,1.0,separator
1250.00,3.50,0000,0,2,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,0000,0,2,1.0,unknown
2125.00,5.25,",",-1,-1,1.0,separator
2250.00,5.50,0000,0,2,1.0,unknown
2375.00,5.75,0000,0,3,1.0,unknown
2500.00,6.00,0010,4,3,0.81,snare
2625.00,6.25,0000,0,3,1.0,unknown
2750.00,6.50,0100,4,3,0.80,snare
2875.00,6.75,0000,0,3,1.0,unknown
2999.99,7.00,3001,4,2,0.90,kick
3125.00,7.25,",",-1,-1,1.0,separator
3250.00,7.50,0000,0,2,1.0,unknown
3375.00,7.75,0000,0,3,1.0,unknown
3500.00,8.00,0000,0,2,1.0,unknown
3625.00,8.25,0000,0,3,1.0,unknown
3750.00,8.50,0100,4,3,0.78,snare
3875.00,8.75,0000,0,3,1.0,unknown
3999.99,9.00,3001,4,2,0.88,kick
4125.00,9.25,",",-1,-1,1.0,separator
4250.00,9.50,0000,0,2,1.0,unknown
4375.00,9.75,0000,0,3,1.0,unknown
4500.00,10.00,0000,0,2,1.0,unknown
4625.00,10.25,0000,0,3,1.0,unknown
4750.00,10.50,0100,4,3,0.76,snare
4875.00,10.75,0000,0,3,1.0,unknown
4999.99,11.00,3001,4,2,0.93,kick
5125.00,11.25,",",-1,-1,1.0,separator
5250.00,11.50,0000,0,2,1.0,unknown
5375.00,11.75,0000,0,3,1.0,unknown
5500.00,12.00,0000,0,2,1.0,unknown
5625.00,12.25,0000,0,3,1.0,unknown
5750.00,12.50,0100,4,3,0.74,snare
5875.00,12.75,0000,0,3,1.0,unknown
5999.99,13.00,3001,4,2,0.90,kick
6125.00,13.25,",",-1,-1,1.0,separator
6250.00,13.50,0000,0,2,1.0,unknown
6375.00,13.75,0000,0,3,1.0,unknown
6500.00,14.00,0000,0,2,1.0,unknown
6625.00,14.25,0000,0,3,1.0,unknown
6750.00,14.50,0100,4,3,0.72,snare
6875.00,14.75,0000,0,3,1.0,unknown
6999.99,15.00,3001,4,2,0.91,kick
7125.00,15.25,",",-1,-1,1.0,separator
7250.00,15.50,0000,0,2,1.0,unknown
7375.00,15.75,0000,0,3,1.0,unknown
7500.00,16.00,0000,0,2,1.0,unknown
7625.00,16.25,0000,0,3,1.0,unknown
7750.00,16.50,0100,4,3,0.70,snare
7875.00,16.75,0000,0,3,1.0,unknown
7999.99,17.00,3001,4,2,0.93,kick
8125.00,17.25,",",-1,-1,1.0,separator
8250.00,17.50,0000,0,2,1.0,unknown
8375.00,17.75,0000,0,3,1.0,unknown
8500.00,18.00,0000,0,2,1.0,unknown
8625.00,18.25,0000,0,3,1.0,unknown
8750.00,18.50,0100,4,3,0.68,snare
8875.00,18.75,0000,0,3,1.0,unknown
8999.99,19.00,3001,4,2,0.95,kick
9125.00,19.25,",",-1,-1,1.0,separator
9250.00,19.50,0000,0,2,1.0,unknown
9375.00,19.75,0000,0,3,1.0,unknown
9500.00,20.00,0000,0,2,1.0,unknown
9625.00,20.25,0000,0,3,1.0,unknown
9750.00,20.50,0100,4,3,0.65,snare
9875.00,20.75,0000,0,3,1.0,unknown
9999.99,21.00,3001,4,2,0.95,kick
11250.00,21.25,",",-1,-1,1.0,separator
12500.00,21.50,0000,0,2,1.0,unknown
13750.00,21.75,0000,0,3,1.0,unknown
15000.00,22.00,0000,0,2,1.0,unknown
16250.00,22.25,0000,0,3,1.0,unknown
17500.00,22.50,0100,4,3,0.63,snare
18750.00,22.75,0000,0,3,1.0,unknown
19999.99,23.00,3001,4,2,0.96,kick
21250.00,23.25,",",-1,-1,1.0,separator
22500.00,23.50,0000,0,2,1.0,unknown
23750.00,23.75,0000,0,3,1.0,unknown
25000.00,24.00,0000,0,2,1.0,unknown
26250.00,24.25,0000,0,3,1.0,unknown
27500.00,24.50,0100,4,3,0.61,snare
28750.00,24.75,0000,0,3,1.0,unknown
29999.99,25.00,3001,4,2,0.98,kick
31250.00,25.25,",",-1,-1,1.0,separator
32500.00,25.50,0000,0,2,1.0,unknown
33750.00,25.75,0000,0,3,1.0,unknown
35000.00,26.00,0000,0,2,1.0,unknown
36250.00,26.25,0000,0,3,1.0,unknown
37500.00,26.50,0100,4,3,0.59,snare
38750.00,26.75,0000,0,3,1.0,unknown
39999.99,27.00,3001,4,2,1.00,kick
41250.00,27.25,",",-1,-1,1.0,separator
42500.00,27.50,0000,0,2,1.0,unknown
43750.00,27.75,0000,0,3,1.0,unknown
45000.00,28.00,0000,0,2,1.0,unknown
46250.00,28.25,0000,0,3,1.0,unknown
47500.00,28.50,0100,4,3,0.56,snare
48750.00,28.75,0000,0,3,1.0,unknown
49999.99,29.00,3001,4,2,1.00,kick
51250.00,29.25,",",-1,-1,1.0,separator
52500.00,29.50,0000,0,2,1.0,unknown
53750.00,29.75,0000,0,3,1.0,unknown
55000.00,30.00,0000,0,2,1.0,unknown
56250.00,30.25,0000,0,3,1.0,unknown
57500.00,30.50,0100,4,3,0.53,snare
58750.00,30.75,0000,0,3,1.0,unknown
59999.99,31.00,3001,4,2,1.00,kick
61250.00,31.25,",",-1,-1,1.0,separator
62500.00,31.50,0000,0,2,1.0,unknown
63750.00,31.75,0000,0,3,1.0,unknown
65000.00,32.00,0000,0,2,1.0,unknown
66250.00,32.25,0000,0,3,1.0,unknown
67500.00,32.50,0100,4,3,0.51,snare
