Here is the StepMania beatmap generated based on the 20-second audio clip:
```yaml
time/ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,0000,0,3,1.0,unknown
1250.00,3.50,0000,0,3,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,0000,0,2,1.0,unknown
2198.28,5.28,0000,0,3,1.0,unknown
2384.04,5.52,0000,0,3,1.0,unknown
2581.41,5.75,0000,0,3,1.0,unknown
2802.00,6.00,0000,0,2,1.0,unknown
2976.15,6.25,0000,0,3,1.0,unknown
3185.12,6.50,0000,0,3,1.0,unknown
3312.83,6.75,0000,0,3,1.0,unknown
3405.71,7.00,0000,0,3,1.0,unknown
3463.76,7.25,0000,0,3,1.0,unknown
3591.47,7.50,0000,0,3,1.0,unknown
3800.45,7.75,0000,0,3,1.0,unknown
3986.21,8.00,0000,0,2,1.0,unknown
4276.46,8.25,0000,0,3,1.0,unknown
4346.12,8.50,0000,0,3,1.0,unknown
4485.44,8.75,0000,0,3,1.0,unknown
4555.10,9.00,0000,0,2,1.0,unknown
4729.25,9.25,0000,0,3,1.0,unknown
5019.50,9.50,0000,0,3,1.0,unknown
5158.82,9.75,0000,0,3,1.0,unknown
5588.39,10.00,0000,0,3,1.0,unknown
5983.13,10.25,0000,0,3,1.0,unknown
6203.72,10.50,0000,0,3,1.0,unknown
6319.82,10.75,0000,0,3,1.0,unknown
6517.19,11.00,0000,0,3,1.0,unknown
6586.85,11.25,0000,0,3,1.0,unknown
6795.83,11.50,0000,0,3,1.0,unknown
7097.69,11.75,0000,0,3,1.0,unknown
7190.57,12.00,0000,0,3,1.0,unknown
7295.06,12.25,0000,0,3,1.0,unknown
7387.94,12.50,0000,0,3,1.0,unknown
7596.92,12.75,0000,0,3,1.0,unknown
7782.68,13.00,0000,0,3,1.0,unknown
8212.24,13.25,0000,0,3,1.0,unknown
8374.78,13.50,0000,0,3,1.0,unknown
8583.76,13.75,0000,0,3,1.0,unknown
8804.35,14.00,0000,0,3,1.0,unknown
8990.11,14.25,0000,0,3,1.0,unknown
9187.48,14.50,0000,0,3,1.0,unknown
9384.85,14.75,0000,0,3,1.0,unknown
9500.95,15.00,0000,0,3,1.0,unknown
9779.59,15.25,0000,0,3,1.0,unknown
10000.18,15.50,0000,0,3,1.0,unknown
10302.04,15.75,0000,0,3,1.0,unknown
10383.31,16.00,0000,0,3,1.0,unknown
10592.29,16.25,0000,0,3,1.0,unknown
10801.27,16.50,0000,0,3,1.0,unknown
10987.03,16.75,0000,0,3,1.0,unknown
11184.40,17.00,0000,0,3,1.0,unknown
11370.16,17.25,0000,0,3,1.0,unknown
11579.14,17.50,0000,0,3,1.0,unknown
11788.12,17.75,0000,0,3,1.0,unknown
11973.88,18.00,0000,0,3,1.0,unknown
12391.84,18.25,0000,0,3,1.0,unknown
12589.21,18.50,0000,0,3,1.0,unknown
12925.90,18.75,0000,0,3,1.0,unknown
12995.56,19.00,0000,0,3,1.0,unknown
13192.93,19.25,0000,0,3,1.0,unknown
13587.66,19.50,0000,0,3,1.0,unknown
13715.37,19.75,0000,0,3,1.0,unknown
13796.64,20.00,0000,0,3,1.0,unknown
13970.79,20.25,0000,0,3,1.0,unknown
14179.77,20.50,0000,0,3,1.0,unknown
14516.46,20.75,0000,0,3,1.0,unknown
14620.95,21.00,0000,0,3,1.0,unknown
14783.49,21.25,0000,0,3,1.0,unknown
14957.64,21.50,0000,0,3,1.0,unknown
15201.45,21.75,0000,0,3,1.0,unknown
15422.04,22.00,0000,0,3,1.0,unknown
15584.58,22.25,0000,0,3,1.0,unknown
15805.17,22.50,0000,0,3,1.0,unknown
15898.05,22.75,0000,0,3,1.0,unknown
16397.28,23.00,0000,0,3,1.0,unknown
16710.75,23.25,0000,0,3,1.0,unknown
16792.02,23.50,0000,0,3,1.0,unknown
16954.56,23.75,0000,0,3,1.0,unknown
17001.00,24.00,0000,0,3,1.0,unknown
17082.27,24.25,0000,0,3,1.0,unknown
17186.76,24.50,0000,0,3,1.0,unknown
17302.86,24.75,0000,0,3,1.0,unknown
17360.91,25.00,0000,0,3,1.0,unknown
17407.35,25.25,0000,0,3,1.0,unknown
17604.72,25.50,0000,0,3,1.0,unknown
17790.48,25.75,0000,0,3,1.0,unknown
17918.19,26.00,0000,0,3,1.0,unknown
17953.02,26.25,0000,0,3,1.0,unknown
17999.46,26.50,0000,0,3,1.0,unknown
18394.20,26.75,0000,0,3,1.0,unknown
18777.32,27.00,0000,0,3,1.0,unknown
18986.30,27.25,0000,0,3,1.0,unknown
19183.67,27.50,0000,0,3,1.0,unknown
19299.77,27.75,0000,0,3,1.0,unknown
19381.04,28.00,0000,0,3,1.0,unknown
19462.31,28.25,0000,0,3,1.0,unknown
19590.02,28.50,0000,0,3,1.0,unknown
19799.00,28.75,0000,0,3,1.0,unknown
19984.76,29.00,0000,0,3,1.0,unknown
21982.28,29.25,0000,0,3,1.0,unknown
23840.44,29.50,0000,0,3,1.0,unknown
25814.12,29.75,0000,0,3,1.0,unknown
2802.00,30.00,0000,0,2,1.0,unknown
2976.15,30.25,0000,0,3,1.0,unknown
3185.12,30.50,0000,0,3,1.0,unknown
3312.83,30.75,0000,0,3,1.0,unknown
3405.71,31.00,0000,0,3,1.0,unknown
3463.76,31.25,0000,0,3,1.0,unknown
3591.47,31.50,0000,0,3,1.0,unknown
